date_id,region,generation,value
2022-10-01 00:00:00,Germany,Biomass,4627.81
2022-10-01 00:00:00,Germany,Dam Hydro,74.94
2022-10-01 00:00:00,Germany,Geothermal,20.81
2022-10-01 00:00:00,Germany,Hard Coal,3206.2
2022-10-01 00:00:00,Germany,Lignite,12188.09
2022-10-01 00:00:00,Germany,Natural Gas,5083.37
2022-10-01 00:00:00,Germany,Non-renewable waste,1204.76
2022-10-01 00:00:00,Germany,Nuclear,3996.37
2022-10-01 00:00:00,Germany,Oil,30.78
2022-10-01 00:00:00,Germany,Other fossil fuel,570.09
2022-10-01 00:00:00,Germany,Other renewables,305.75
2022-10-01 00:00:00,Germany,Pumped storage generation,71.0
2022-10-01 00:00:00,Germany,Run-of-River Hydro,2085.35
2022-10-01 00:00:00,Germany,Solar,0.0
2022-10-01 00:00:00,Germany,Wind offshore,4708.63
2022-10-01 00:00:00,Germany,Wind onshore,23117.49
2022-10-01 01:00:00,Germany,Biomass,4627.81
2022-10-01 01:00:00,Germany,Dam Hydro,90.0
2022-10-01 01:00:00,Germany,Geothermal,20.81
2022-10-01 01:00:00,Germany,Hard Coal,3212.39
2022-10-01 01:00:00,Germany,Lignite,12105.32
2022-10-01 01:00:00,Germany,Natural Gas,5072.52
2022-10-01 01:00:00,Germany,Non-renewable waste,1198.99
2022-10-01 01:00:00,Germany,Nuclear,4000.12
2022-10-01 01:00:00,Germany,Oil,30.78
2022-10-01 01:00:00,Germany,Other fossil fuel,570.09
2022-10-01 01:00:00,Germany,Other renewables,305.75
2022-10-01 01:00:00,Germany,Pumped storage generation,78.75
2022-10-01 01:00:00,Germany,Run-of-River Hydro,2094.58
2022-10-01 01:00:00,Germany,Solar,0.0
2022-10-01 01:00:00,Germany,Wind offshore,4258.34
2022-10-01 01:00:00,Germany,Wind onshore,24271.9
2022-10-01 02:00:00,Germany,Biomass,4612.07
2022-10-01 02:00:00,Germany,Dam Hydro,74.26
2022-10-01 02:00:00,Germany,Geothermal,20.81
2022-10-01 02:00:00,Germany,Hard Coal,3025.96
2022-10-01 02:00:00,Germany,Lignite,12281.62
2022-10-01 02:00:00,Germany,Natural Gas,5073.37
2022-10-01 02:00:00,Germany,Non-renewable waste,1219.75
2022-10-01 02:00:00,Germany,Nuclear,4000.37
2022-10-01 02:00:00,Germany,Oil,30.78
2022-10-01 02:00:00,Germany,Other fossil fuel,570.09
2022-10-01 02:00:00,Germany,Other renewables,305.75
2022-10-01 02:00:00,Germany,Pumped storage generation,192.0
2022-10-01 02:00:00,Germany,Run-of-River Hydro,2075.42
2022-10-01 02:00:00,Germany,Solar,0.0
2022-10-01 02:00:00,Germany,Wind offshore,4464.79
2022-10-01 02:00:00,Germany,Wind onshore,24362.04
2022-10-01 03:00:00,Germany,Biomass,4589.12
2022-10-01 03:00:00,Germany,Dam Hydro,70.84
2022-10-01 03:00:00,Germany,Geothermal,20.81
2022-10-01 03:00:00,Germany,Hard Coal,2813.34
2022-10-01 03:00:00,Germany,Lignite,12744.3
2022-10-01 03:00:00,Germany,Natural Gas,5078.26
2022-10-01 03:00:00,Germany,Non-renewable waste,1218.6
2022-10-01 03:00:00,Germany,Nuclear,4006.61
2022-10-01 03:00:00,Germany,Oil,30.78
2022-10-01 03:00:00,Germany,Other fossil fuel,570.09
2022-10-01 03:00:00,Germany,Other renewables,308.14
2022-10-01 03:00:00,Germany,Pumped storage generation,153.5
2022-10-01 03:00:00,Germany,Run-of-River Hydro,2063.1
2022-10-01 03:00:00,Germany,Solar,0.0
2022-10-01 03:00:00,Germany,Wind offshore,4734.66
2022-10-01 03:00:00,Germany,Wind onshore,26323.79
2022-10-01 04:00:00,Germany,Biomass,4570.55
2022-10-01 04:00:00,Germany,Dam Hydro,124.22
2022-10-01 04:00:00,Germany,Geothermal,20.81
2022-10-01 04:00:00,Germany,Hard Coal,2382.86
2022-10-01 04:00:00,Germany,Lignite,12881.97
2022-10-01 04:00:00,Germany,Natural Gas,5078.26
2022-10-01 04:00:00,Germany,Non-renewable waste,1207.45
2022-10-01 04:00:00,Germany,Nuclear,4006.36
2022-10-01 04:00:00,Germany,Oil,30.78
2022-10-01 04:00:00,Germany,Other fossil fuel,570.09
2022-10-01 04:00:00,Germany,Other renewables,308.93
2022-10-01 04:00:00,Germany,Pumped storage generation,144.75
2022-10-01 04:00:00,Germany,Run-of-River Hydro,2044.62
2022-10-01 04:00:00,Germany,Solar,0.54
2022-10-01 04:00:00,Germany,Wind offshore,4811.73
2022-10-01 04:00:00,Germany,Wind onshore,28200.89
2022-10-01 05:00:00,Germany,Biomass,4583.71
2022-10-01 05:00:00,Germany,Dam Hydro,152.96
2022-10-01 05:00:00,Germany,Geothermal,20.81
2022-10-01 05:00:00,Germany,Hard Coal,2344.77
2022-10-01 05:00:00,Germany,Lignite,13038.56
2022-10-01 05:00:00,Germany,Natural Gas,5089.76
2022-10-01 05:00:00,Germany,Non-renewable waste,1205.91
2022-10-01 05:00:00,Germany,Nuclear,4008.61
2022-10-01 05:00:00,Germany,Oil,30.78
